,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,ticker
13432,2019-05-12 22:00:00,7149.98,6886.92,7145.1,5646.6,39461753.77,6987.43,direct,,BTC
13433,2019-05-12 23:00:00,6989.58,6877.03,6987.43,2924.53,20245955.75,6977.63,direct,,BTC
13434,2019-05-13 00:00:00,7037.75,6873.42,6977.63,3163.89,21972011.71,7015.3,direct,,BTC
13435,2019-05-13 01:00:00,7080.11,7015.3,7015.3,1933.36,13614282.35,7030.54,direct,,BTC
13436,2019-05-13 02:00:00,7046.71,6982.53,7030.54,1487.08,10419990.59,7043.2,direct,,BTC
13437,2019-05-13 03:00:00,7068.79,7005.6,7043.2,1538.26,10819326.07,7015.37,direct,,BTC
13438,2019-05-13 04:00:00,7094.19,7011.37,7015.37,1552.58,10919791.84,7086.57,direct,,BTC
13439,2019-05-13 05:00:00,7141.83,7041.18,7086.57,2185.54,15514085.64,7045.05,direct,,BTC
13440,2019-05-13 06:00:00,7080.62,7020.41,7045.05,1606.02,11306644.79,7073.37,direct,,BTC
13441,2019-05-13 07:00:00,7074.28,6998.73,7073.37,1005.9,7061013.29,7028.33,direct,,BTC
13442,2019-05-13 08:00:00,7066.08,7002.75,7028.33,1269.37,8930192.91,7049.86,direct,,BTC
13443,2019-05-13 09:00:00,7120.91,7045.86,7049.86,1924.61,13622711.97,7090.96,direct,,BTC
13444,2019-05-13 10:00:00,7107.13,7050.79,7090.96,1215.65,8601583.38,7100.4,direct,,BTC
13445,2019-05-13 11:00:00,7308.96,7075.83,7100.4,6717.2,48514786.38,7253.61,direct,,BTC
13446,2019-05-13 12:00:00,7330.56,7239.61,7253.61,5391.76,39347470.31,7327.04,direct,,BTC
13447,2019-05-13 13:00:00,7412.55,7325.42,7327.04,6679.36,49182327.71,7369.62,direct,,BTC
13448,2019-05-13 14:00:00,7508.99,7339.18,7369.62,7810.47,58131603.05,7487.71,direct,,BTC
13449,2019-05-13 15:00:00,7875.33,7462.04,7487.71,25630.5,198314423.83,7810.42,direct,,BTC
13450,2019-05-13 16:00:00,7915.03,7747.04,7810.42,14373.84,112765110.05,7882.24,direct,,BTC
13451,2019-05-13 17:00:00,7931.33,7753.34,7882.24,9649.68,75561523.49,7800.06,direct,,BTC
13452,2019-05-13 18:00:00,7871.57,7740.41,7800.06,5591.83,43766187.21,7841.46,direct,,BTC
13453,2019-05-13 19:00:00,7932.37,7802.75,7841.46,5104.01,40218539.17,7882.75,direct,,BTC
13454,2019-05-13 20:00:00,7903.39,7769.72,7882.75,4992.03,39219690.57,7849.14,direct,,BTC
13455,2019-05-13 21:00:00,8121.06,7849.1,7849.14,13042.37,104438955.79,8080.65,direct,,BTC
13456,2019-05-13 22:00:00,8127.75,7871.09,8080.65,9669.65,77484743.08,7904.55,direct,,BTC
13457,2019-05-13 23:00:00,7907.72,7600.02,7904.55,15547.6,120575651.41,7806.36,direct,,BTC
13458,2019-05-14 00:00:00,7955.9,7780.7,7806.36,4184.41,33041921.05,7891.25,direct,,BTC
