,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
47715,2025-04-03 20:00:00,82381.8,81758.71,81943.13,615.97,50501420.29,82317.97,direct,
47716,2025-04-03 21:00:00,82816.22,82289.1,82317.97,665.82,54935336.74,82689.6,direct,
47717,2025-04-03 22:00:00,82839.2,82567.75,82689.6,504.99,41775197.16,82701.74,direct,
47718,2025-04-03 23:00:00,83283.37,82469.68,82701.74,774.33,64147577.84,83158.8,direct,
47719,2025-04-04 00:00:00,83378.45,82966.04,83158.8,776.97,64615199.45,83011.79,direct,
47720,2025-04-04 01:00:00,83310.66,82568.71,83011.79,743.9,61737318.79,82666.61,direct,
47721,2025-04-04 02:00:00,83157.86,82666.61,82666.61,462.02,38313743.05,82877.44,direct,
47722,2025-04-04 03:00:00,83028.67,82666.63,82877.44,371.55,30768938.04,82791.21,direct,
47723,2025-04-04 04:00:00,82891.8,82584.07,82791.21,384.86,31844429.27,82694.98,direct,
47724,2025-04-04 05:00:00,83178.59,82617.48,82694.98,333.29,27653511.79,83170.47,direct,
47725,2025-04-04 06:00:00,83228.24,83015.52,83170.47,298.59,24826341.98,83026.71,direct,
47726,2025-04-04 07:00:00,83995.21,83026.7,83026.71,750.49,62762532.5,83982.6,direct,
47727,2025-04-04 08:00:00,84636.97,83982.6,83982.6,1029.17,86841268.75,84408.27,direct,
47728,2025-04-04 09:00:00,84716.02,84127.61,84408.27,608.67,51394388.74,84577.23,direct,
47729,2025-04-04 10:00:00,84687.87,82413.17,84577.23,2590.9,215624736.9,82558.3,direct,
47730,2025-04-04 11:00:00,82758.95,81648.68,82558.3,1943.75,159726124.98,82663.6,direct,
47731,2025-04-04 12:00:00,83071.78,82190.85,82663.6,3659.51,302206869.56,82841.01,direct,
47732,2025-04-04 13:00:00,83457.93,82104.43,82841.01,3846.06,318057306.53,83321.56,direct,
47733,2025-04-04 14:00:00,83472.75,81797.08,83321.56,4359.96,360017725.08,82531.85,direct,
47734,2025-04-04 15:00:00,83672.01,82433.72,82531.85,3787.24,314889018.97,82824.23,direct,
47735,2025-04-04 16:00:00,83511.44,82696.26,82824.23,2524.52,209872354.07,83350.05,direct,
47736,2025-04-04 17:00:00,84578.91,82909.28,83350.05,2830.78,237172168.47,84429.62,direct,
47737,2025-04-04 18:00:00,84556.5,83705.02,84429.62,1985.86,166845255.79,83948.4,direct,
47738,2025-04-04 19:00:00,84427.47,83751.28,83948.4,1696.46,142699078.28,83976.37,direct,
47739,2025-04-04 20:00:00,84247.82,83458.27,83976.37,1022.44,85783364.7,84129.5,direct,
47740,2025-04-04 21:00:00,84415.43,83910.49,84129.5,481.1,40490932.39,84154.73,direct,
47741,2025-04-04 22:00:00,84238.44,83995.53,84154.73,238.1,20022692.65,84031.05,direct,
